name,description,price,price2,image_url,category
GUANTE DOMESTICO TALLA S,Descripcion del producto,29.39,27.29,public/images/cleantec-logo.png,Equipos de protección
GUANTE DOMESTICO XL,Descripcion del producto,27.08,27.29,public/images/cleantec-logo.png,Equipos de protección
HAND SOAP JABON LIQUIDO PARA MANOS,Descripcion del producto,179.33,172.69,public/images/cleantec-logo.png,Limpieza
HARPIC 750ML,Descripcion del producto,61.51,56.30,public/images/cleantec-logo.png,Limpieza
JABON AXION 1.1L AVENA VITAMINA,Descripcion del producto,66.15,0.00,public/images/cleantec-logo.png,Limpieza
JABON AXION 1.1L SWEET MELON,Descripcion del producto,66.15,0.00,public/images/cleantec-logo.png,Limpieza
JABON DAWN 3.78L,Descripcion del producto,440.72,0.00,public/images/cleantec-logo.png,Limpieza
JABON LIQUIDO AXION 2.8 TRICLORO,Descripcion del producto,168.83,166.23,public/images/cleantec-logo.png,Limpieza
JABON LIQUIDO AXION 400ML,Descripcion del producto,20.93,19.43,public/images/cleantec-logo.png,Limpieza
JABON LIQUIDO AXION LIMON 2.8,Descripcion del producto,169.83,160.96,public/images/cleantec-logo.png,Limpieza
JABON LIQUIDO PARA MANOS BEAUTY SOFT 2L,Descripcion del producto,92.66,0.00,public/images/cleantec-logo.png,Limpieza
JABON LIQUIDO PARA MANOS DIFERENTES AROMAS,Descripcion del producto,69.39,64.42,public/images/cleantec-logo.png,Limpieza
JABON LIQUIDO PARA TRASTES DAWN 2.6,Descripcion del producto,262.42,252.73,public/images/cleantec-logo.png,Limpieza
JABON LIQUIDO PARA TRASTES KIRKLAND 2.66L,Descripcion del producto,263.84,0.00,public/images/cleantec-logo.png,Limpieza
JABON LIQUIDO PARA SALVO 2.6L,Descripcion del producto,184.81,0.00,public/images/cleantec-logo.png,Limpieza
JABON ZOTE 200GRS,Descripcion del producto,15.01,0.00,public/images/cleantec-logo.png,Limpieza
JABON ZOTE 400GRS,Descripcion del producto,29.82,0.00,public/images/cleantec-logo.png,Limpieza
JABONERA,Descripcion del producto,377.14,0.00,public/images/cleantec-logo.png,Limpieza
JABONERA CALI 1L,Descripcion del producto,267.90,0.00,public/images/cleantec-logo.png,Limpieza
LIMPIADOR FLASH BRISA MARINA 1L,Descripcion del producto,22.30,20.41,public/images/cleantec-logo.png,Limpieza
LIMPIA VIDRIOS PARA CARRO,Descripcion del producto,65.32,60.65,public/images/cleantec-logo.png,Limpieza
LIMPIA VIDRIOS POWEROSO 946ML,Descripcion del producto,37.44,35.67,public/images/cleantec-logo.png,Limpieza
LIMPIADOR FABULOSO MAR FRESCO 2L,Descripcion del producto,54.00,0.00,public/images/cleantec-logo.png,Limpieza
LIMPIADOR BRISA MARINA MM 10 LTS,Descripcion del producto,200.15,0.00,public/images/cleantec-logo.png,Limpieza
